Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),2
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 15000, 'val': 1500, 'test': 1500}"
Best Round,49
Best Accuracy,82.0
Duration of time,2 h 20 min 38 sec

Round,Accuracy (%),Client Count
1,67.4,5
2,74.8,5
3,78.73333333333333,5
4,79.66666666666666,5
5,80.2,5
6,79.66666666666666,5
7,80.73333333333333,5
8,79.93333333333334,5
9,78.66666666666666,5
10,79.60000000000001,5
11,80.60000000000001,5
12,81.0,5
13,80.33333333333333,5
14,80.86666666666666,5
15,81.13333333333334,5
16,81.0,5
17,81.86666666666666,5
18,81.2,5
19,81.0,5
20,78.8,5
21,80.93333333333334,5
22,81.6,5
23,81.13333333333334,5
24,80.53333333333333,5
25,79.86666666666666,5
26,81.6,5
27,80.86666666666666,5
28,80.4,5
29,80.53333333333333,5
30,81.53333333333333,5
31,81.46666666666667,5
32,81.46666666666667,5
33,79.80000000000001,5
34,81.93333333333334,5
35,81.33333333333333,5
36,80.86666666666666,5
37,81.46666666666667,5
38,80.33333333333333,5
39,81.0,5
40,81.0,5
41,81.66666666666667,5
42,81.73333333333333,5
43,81.46666666666667,5
44,79.53333333333333,5
45,80.0,5
46,81.06666666666666,5
47,80.86666666666666,5
48,81.06666666666666,5
49,82.0,5
50,81.39999999999999,5
