Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),2
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 5000, 'val': 500, 'test': 500}"
Best Round,49
Best Accuracy,69.39999999999999
Duration of time,0 h 54 min 27 sec

Round,Accuracy (%),Client Count
1,54.2,5
2,60.8,5
3,65.60000000000001,5
4,64.60000000000001,5
5,67.60000000000001,5
6,66.2,5
7,66.0,5
8,64.0,5
9,64.4,5
10,64.60000000000001,5
11,68.8,5
12,68.4,5
13,69.0,5
14,67.80000000000001,5
15,67.80000000000001,5
16,63.6,5
17,66.2,5
18,67.80000000000001,5
19,68.0,5
20,67.4,5
21,65.8,5
22,65.2,5
23,66.60000000000001,5
24,66.60000000000001,5
25,66.60000000000001,5
26,67.2,5
27,66.8,5
28,66.8,5
29,66.8,5
30,65.60000000000001,5
31,68.0,5
32,66.60000000000001,5
33,66.0,5
34,66.0,5
35,65.4,5
36,67.60000000000001,5
37,67.4,5
38,64.8,5
39,67.80000000000001,5
40,66.8,5
41,65.60000000000001,5
42,66.8,5
43,66.2,5
44,66.0,5
45,65.8,5
46,65.8,5
47,68.4,5
48,67.2,5
49,69.39999999999999,5
50,68.60000000000001,5
