Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),5
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 5000, 'val': 500, 'test': 500}"
Best Round,36
Best Accuracy,68.8
Duration of time,1 h 31 min 17 sec

Round,Accuracy (%),Client Count
1,61.6,5
2,66.2,5
3,65.2,5
4,64.0,5
5,66.0,5
6,64.2,5
7,63.0,5
8,64.2,5
9,66.2,5
10,64.8,5
11,63.800000000000004,5
12,66.2,5
13,65.0,5
14,64.8,5
15,64.4,5
16,65.8,5
17,65.0,5
18,65.0,5
19,66.2,5
20,64.8,5
21,66.60000000000001,5
22,65.4,5
23,65.8,5
24,65.60000000000001,5
25,66.0,5
26,65.8,5
27,66.4,5
28,66.8,5
29,67.0,5
30,66.0,5
31,65.2,5
32,67.60000000000001,5
33,67.60000000000001,5
34,67.2,5
35,67.80000000000001,5
36,68.8,5
37,67.60000000000001,5
38,67.4,5
39,66.60000000000001,5
40,63.4,5
41,64.8,5
42,65.4,5
43,65.8,5
44,65.0,5
45,66.2,5
46,67.80000000000001,5
47,66.0,5
48,66.0,5
49,66.2,5
50,66.8,5
