Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),5
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 15000, 'val': 1500, 'test': 1500}"
Best Round,25
Best Accuracy,81.93333333333334
Duration of time,4 h 09 min 31 sec

Round,Accuracy (%),Client Count
1,75.4,5
2,78.86666666666666,5
3,79.2,5
4,80.53333333333333,5
5,79.66666666666666,5
6,80.66666666666666,5
7,80.13333333333334,5
8,80.86666666666666,5
9,80.06666666666666,5
10,81.0,5
11,80.46666666666667,5
12,80.86666666666666,5
13,81.0,5
14,80.66666666666666,5
15,80.33333333333333,5
16,80.73333333333333,5
17,81.06666666666666,5
18,80.73333333333333,5
19,81.6,5
20,81.26666666666667,5
21,81.13333333333334,5
22,81.73333333333333,5
23,80.53333333333333,5
24,81.66666666666667,5
25,81.93333333333334,5
26,81.46666666666667,5
27,81.39999999999999,5
28,80.86666666666666,5
29,80.46666666666667,5
30,81.66666666666667,5
31,81.26666666666667,5
32,80.26666666666667,5
33,81.0,5
34,80.53333333333333,5
35,81.6,5
36,80.46666666666667,5
37,81.0,5
38,81.06666666666666,5
39,80.66666666666666,5
40,81.53333333333333,5
41,81.26666666666667,5
42,81.26666666666667,5
43,81.13333333333334,5
44,80.86666666666666,5
45,81.46666666666667,5
46,81.53333333333333,5
47,81.73333333333333,5
48,81.33333333333333,5
49,81.33333333333333,5
50,81.0,5
