Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),2
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 50000, 'val': 5000, 'test': 5000}"
Best Round,38
Best Accuracy,89.86
Duration of time,5 h 27 min 22 sec

Round,Accuracy (%),Client Count
1,81.34,5
2,85.64,5
3,86.88,5
4,87.62,5
5,88.5,5
6,88.62,5
7,87.78,5
8,88.32,5
9,88.34,5
10,88.5,5
11,88.42,5
12,88.98,5
13,89.0,5
14,88.75999999999999,5
15,89.38000000000001,5
16,89.18,5
17,88.72,5
18,89.16,5
19,89.25999999999999,5
20,88.88000000000001,5
21,89.02,5
22,89.1,5
23,89.24,5
24,88.66000000000001,5
25,88.66000000000001,5
26,89.22,5
27,89.38000000000001,5
28,89.42,5
29,89.22,5
30,89.4,5
31,88.9,5
32,89.22,5
33,89.58,5
34,89.2,5
35,89.8,5
36,89.48,5
37,89.36,5
38,89.86,5
39,89.52,5
40,88.96,5
41,89.62,5
42,89.64,5
43,89.5,5
44,89.44,5
45,89.72,5
46,89.5,5
47,89.66,5
48,89.62,5
49,89.72,5
50,89.74,5
