Experiment Metadata
Client Count,3
Auto Run Rounds,50
Clients Epochs(round),5
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 16500, 'val': 1650, 'test': 1650}"
Best Round,49
Best Accuracy,89.15151515151514
Duration of time,4 h 20 min 22 sec

Round,Accuracy (%),Client Count
1,75.57575757575758,3
2,82.36363636363636,3
3,83.27272727272728,3
4,85.39393939393939,3
5,85.51515151515152,3
6,86.12121212121212,3
7,86.3030303030303,3
8,86.3030303030303,3
9,85.93939393939394,3
10,87.81818181818181,3
11,85.69696969696969,3
12,87.75757575757575,3
13,88.24242424242425,3
14,86.72727272727273,3
15,86.42424242424242,3
16,87.2121212121212,3
17,87.45454545454545,3
18,88.0,3
19,87.81818181818181,3
20,87.51515151515152,3
21,87.45454545454545,3
22,86.66666666666667,3
23,87.15151515151514,3
24,87.27272727272727,3
25,87.15151515151514,3
26,88.12121212121212,3
27,87.93939393939394,3
28,88.06060606060606,3
29,87.81818181818181,3
30,87.75757575757575,3
31,88.30303030303031,3
32,86.72727272727273,3
33,87.09090909090908,3
34,88.12121212121212,3
35,88.36363636363636,3
36,88.48484848484848,3
37,88.18181818181819,3
38,88.42424242424242,3
39,87.33333333333333,3
40,88.0,3
41,88.0,3
42,88.72727272727273,3
43,88.60606060606061,3
44,88.60606060606061,3
45,88.48484848484848,3
46,88.24242424242425,3
47,88.48484848484848,3
48,89.0909090909091,3
49,89.15151515151514,3
50,88.60606060606061,3
